Company,Industry,Code,Year,Season,announce_day,Date,TTM_PE,EPS_growth,Expeceted_Dividend_Rate,Position,Close,Position_new,Code_out,Date_out,Close_out,Return,holding_days,Daily_Return_geometry,Daily_Return_arithmetic
1445 大宇,紡織纖維,1445,2016,2,2016-08-14,2016-08-15,13.105000000000011,0.11764705882352935,0.04680000000000002,1.0,9.47,1.0,1445,2016-11-14,8.4,-0.11298838437170011,91,-0.0013166840730536311,-0.00124163059749121
1451 年興,紡織纖維,1451,2014,1,2014-05-15,2014-05-15,14.220000000000002,0.8285714285714287,0.056075,1.0,35.28,1.0,1451,2014-08-14,34.25,-0.029195011337868504,91,-0.00032554772783888186,-0.00032082430041613743
1451 年興,紡織纖維,1451,2016,2,2016-08-14,2016-08-15,10.174999999999997,3.333333333333333,0.06995000000000004,1.0,35.8,1.0,1451,2016-11-14,35.28,-0.014525139664804398,91,-0.00016077457183438781,-0.00015961691939345493
1452 宏益,紡織纖維,1452,2014,1,2014-05-15,2014-05-15,13.197499999999998,0.3181818181818181,0.0596,1.0,9.58,1.0,1452,2015-03-31,19.31,1.0156576200417535,320,0.002192855499956403,0.00317393006263048
1452 宏益,紡織纖維,1452,2015,1,2015-05-15,2015-05-15,10.417499999999997,1.2758620689655176,0.06462500000000003,1.0,25.18,1.0,1452,2016-03-31,21.36,-0.15170770452740268,321,-0.0005124232287304631,-0.00047260967142493044
1452 宏益,紡織纖維,1452,2016,4,2017-03-31,2017-03-31,11.375,0.6296296296296295,0.07785,1.0,20.65,1.0,1452,2017-05-15,20.94,0.01404358353510915,45,0.00030995660518806645,0.0003120796341135367
1460 宏遠,紡織纖維,1460,2016,2,2016-08-14,2016-08-15,14.169999999999987,0.2666666666666667,0.049775,1.0,14.38,1.0,1460,2017-05-15,14.99,0.04242002781641174,273,0.00015219091986895528,0.0001553847172762335
1465 偉全,紡織纖維,1465,2014,1,2014-05-15,2014-05-15,9.474999999999998,1.6923076923076918,0.048675,1.0,13.75,1.0,1465,2014-08-14,15.34,0.11563636363636354,91,0.0012031954774620601,0.0012707292707292697
1465 偉全,紡織纖維,1465,2015,3,2015-11-14,2015-11-16,10.905,1.272727272727273,0.0606,1.0,11.97,1.0,1465,2016-03-31,13.04,0.08939014202172091,136,0.000629742593840632,0.0006572804560420655
1465 偉全,紡織纖維,1465,2016,4,2017-03-31,2017-03-31,11.5775,1.1666666666666667,0.0616,1.0,12.4,1.0,1465,2017-05-15,11.97,-0.0346774193548387,45,-0.0007839803720335325,-0.0007706093189964156
1474 弘裕,紡織纖維,1474,2016,2,2016-08-14,2016-08-15,10.32,0.24999999999999994,0.0452,1.0,9.89,1.0,1474,2016-11-14,9.6,-0.029322548028311468,91,-0.0003269910010802457,-0.0003222258025089172
1474 弘裕,紡織纖維,1474,2016,4,2017-03-31,2017-03-31,10.3275,2.8571428571428568,0.0498,1.0,10.88,1.0,1474,2017-05-15,10.84,-0.003676470588235392,45,-8.184654852838591e-05,-8.169934640523093e-05
1513 中興電,電機機械,1513,2014,2,2014-08-14,2014-08-14,13.572500000000002,0.09677419354838718,0.042350000000000006,1.0,17.34,1.0,1513,2014-11-14,16.35,-0.05709342560553621,92,-0.0006387966869124684,-0.0006205807131036544
1513 中興電,電機機械,1513,2014,4,2015-03-31,2015-03-31,12.89,0.23076923076923075,0.04335000000000002,1.0,17.75,1.0,1513,2015-08-14,14.77,-0.16788732394366201,136,-0.0013504653834809366,-0.0012344656172328088
1513 中興電,電機機械,1513,2015,3,2015-11-14,2015-11-16,9.222499999999998,1.6551724137931036,0.06415000000000001,1.0,15.48,1.0,1513,2016-03-31,16.29,0.05232558139534871,136,0.00037508911107297926,0.0003847469220246229
1513 中興電,電機機械,1513,2016,1,2016-05-15,2016-05-16,8.952499999999997,0.2,0.06385000000000003,1.0,15.84,1.0,1513,2016-11-14,16.81,0.0612373737373737,182,0.0003266223461380058,0.0003364690864690863
