Company,Industry,Code,Year,Season,announce_day,Date,TTM_PE,EPS_growth,Expeceted_Dividend_Rate,Position,Close,Position_new,Code_out,Date_out,Close_out,Return,holding_days,Daily_Return_geometry,Daily_Return_arithmetic
2114 鑫永銓,橡膠工業,2114,2016,2,2016-08-14,2016-08-15,10.0475,0.11023622047244086,0.06435000000000002,1.0,74.26,1.0,2114,2016-11-14,71.83,-0.032722865607325735,91,-0.0003655401262545599,-0.00035959192975083224
2114 鑫永銓,橡膠工業,2114,2016,4,2017-03-31,2017-03-31,11.705000000000005,0.15827338129496418,0.062725,1.0,71.83,1.0,2114,2017-05-15,65.3,-0.09090909090909094,45,-0.0021157626078908143,-0.002020202020202021
2204 中華,汽車工業,2204,2016,3,2016-11-14,2016-11-14,8.207499999999998,0.2156862745098039,0.0647,1.0,22.83,1.0,2204,2017-03-31,26.23,0.14892685063512934,137,0.0010138591068336034,0.0010870573039060535
2227 裕日車,汽車工業,2227,2014,4,2015-03-31,2015-03-31,12.960000000000004,0.1511936339522546,0.0638,1.0,233.06,1.0,2227,2015-05-15,254.6,0.09242255213249795,45,0.001966325242058309,0.0020538344918332877
2227 裕日車,汽車工業,2227,2016,4,2017-03-31,2017-03-31,11.705000000000002,0.43666666666666654,0.07382499999999996,1.0,195.06,1.0,2227,2017-05-15,238.87,0.22459755972521278,45,0.004512646289715816,0.004991056882782507
2316 楠梓電,電子零組件,2316,2014,4,2015-03-31,2015-03-31,12.4825,1.1666666666666667,0.06609999999999999,1.0,15.55,1.0,2316,2015-08-14,23.39,0.5041800643086816,136,0.0030063330852909687,0.003707206355210894
2324 仁寶,電腦及週邊,2324,2015,3,2015-11-14,2015-11-16,7.4899999999999975,0.11666666666666678,0.06712499999999999,1.0,16.7,1.0,2324,2016-03-31,17.94,0.07425149700598821,136,0.0005267867711473695,0.0005459668897499133
2324 仁寶,電腦及週邊,2324,2016,2,2016-08-14,2016-08-15,7.144999999999998,0.14285714285714302,0.06555,1.0,18.98,1.0,2324,2016-11-14,17.52,-0.07692307692307698,91,-0.0008792034681549543,-0.0008453085376162306
2324 仁寶,電腦及週邊,2324,2016,4,2017-03-31,2017-03-31,7.452499999999996,0.1320754716981131,0.06127500000000001,1.0,18.65,1.0,2324,2017-05-15,19.31,0.03538873994638081,45,0.0007731198220861657,0.0007864164432529069
2327 國巨,電子零組件,2327,2015,3,2015-11-14,2015-11-16,7.802500000000002,1.6956521739130441,0.0764,1.0,79.49,1.0,2327,2016-05-16,84.22,0.05950434016857464,182,0.0003176394210546718,0.0003269469240031574
2331 精英,電腦及週邊,2331,2014,1,2014-05-15,2014-05-15,10.732500000000002,1.0,0.097375,1.0,17.04,1.0,2331,2015-03-31,24.09,0.41373239436619724,320,0.0010825645980752086,0.0012929137323943664
2331 精英,電腦及週邊,2331,2015,1,2015-05-15,2015-05-15,9.465000000000003,0.6190476190476192,0.1493,1.0,22.02,1.0,2331,2015-08-14,18.13,-0.17665758401453224,91,-0.002133798302460188,-0.0019412921320278269
2331 精英,電腦及週邊,2331,2015,3,2015-11-14,2015-11-16,7.9650000000000025,0.32812499999999994,0.18925,1.0,19.37,1.0,2331,2016-03-31,17.74,-0.08415074858027893,136,-0.0006461404299660245,-0.0006187555042667568
2340 光磊,光電業,2340,2015,3,2015-11-14,2015-11-16,9.000000000000005,0.15999999999999992,0.062575,1.0,10.18,1.0,2340,2016-05-16,10.08,-0.00982318271119842,182,-5.4238905276449145e-05,-5.397353138021109e-05
2340 光磊,光電業,2340,2016,2,2016-08-14,2016-08-15,9.717500000000006,0.8518518518518517,0.08627500000000002,1.0,13.96,1.0,2340,2017-05-15,19.4,0.38968481375358155,273,0.0012061369406926037,0.0014274169001962695
2345 智邦,通信網路業,2345,2014,1,2014-05-15,2014-05-15,14.45,1.769230769230769,0.07112500000000001,1.0,14.22,1.0,2345,2014-08-14,15.22,0.07032348804500699,91,0.0007471023272778154,0.0007727855829121647
2345 智邦,通信網路業,2345,2015,2,2015-08-14,2015-08-14,12.595,0.4482758620689656,0.06447500000000002,1.0,12.41,1.0,2345,2017-05-15,64.26,4.178082191780822,640,0.0025727331163665212,0.006528253424657534
